安全な薬	
NP	"A01AA01 ·フッ化ナトリウム口腔 用製剤
デュラファット・エルメックス・デュラファット・フッ化物・フラックス・メデルメックス・デュラファット・フッ化ナトリウム・フッ化ナトリウム・センソダイン"
NP	"A01AA30 · 口腔用製剤の配合剤
エルメックス・フルオルメックス・コンビナスヨナー・ゼロデント"
NP	"A01AB03 ·クロルヘキシジン 口腔用製剤
クロルヘキサメド フォルテ·コルソジル·クロルヘクシジン·パロエクス"
NP	"A01AB04 ·アムホテリシンB 口腔用製剤
アンフォテリシンb・アンホモロナール"
NP	"A01AB09・ミコナゾール 口腔用製剤
ブレンタン、ダクター、ダクタリン、ダクタリン経口、インフェクトソール、ミコナゾール"
NP	"A01AB11 ·各種 口腔用製剤
ベタジン·ダイバース·ミルラティンクトゥル·ナ ヒポクロリット·ナトリウムヒポクロリット·ナイスタチン クロルヘクシジン"
PNP	"A01AB17 ·メトロニダゾール 口腔用製剤
メトロニダゾール"
PNP	"A01AB22 ·ドキシサイクリン 口腔用製剤
ドクシシクリン・リゴサン"
PNP	"A01AB23・ミノサイクリン 口腔用製剤
ミノシクリン"
NP	"A01AC01 ·トリアムシノロン 口腔製剤
トリアムシノロン・ボロンa"
NP	"A01AD01エピネフリン口腔 製剤
アドレナリン・ジンジパック"
PNP	"A01AD02 ·ベンジダミン 口腔用製剤
アクチュセプト・アンドレックス・ベンジダミン・ベンジダミンネオアンギン・ベンジダミンネオアンギンフォルテ・ベルトリックス・ガードロックス・ハスコセプト・ハスコセプトフォルテ・イナルジン・ナガードラン・セプトガード・タンタムヴェルデ・タンタムヴェルデフォルテ・ユニベン"
NP	"A01AD11 ·各種 口腔用製剤
バキソフォート、カルジェル、デンティノックス、デビパスタ、デザフタン、ジクロスチム、ダイバース、ドロデント、エドタ、グリンバックス、グリセロール、ケトアンギン、メトロニダゾール、サコデント、ソルコセリル"
NP	"A02AC01 ·炭酸カルシウム  酸関連疾患治療薬
カルシウムカルボナット・ティトララック・ズガギンストップ"
NP	"A02AD01 ·通常の塩類配合 剤 酸関連疾患治療薬
アルミノックス·バランシッド·ガスタル·マロックス·ノヴァルジッド·オルディナレ サルトコンビナスヨナー·ピーフー コンプ·レニー·リフレシン"
NP	"A02AH ·重炭酸ナトリウム配合制酸剤  酸関連疾患治療薬
アルカラ·制酸剤ナトリウム水素カルボナット·ナトリウムビカルボナット·ナトリウム水素炭酸ナトリウム·ナトリウム水素カルボナット·ナトリウムベティカルボナッティ·ナトロン·サマリン"
NP	"A02BA01 ·シメチジン 酸関連疾患治療薬
シメチジン・シメチジン・ウルコスタッド"
PNP	"A02BA02 ·ラニチジン  酸関連疾患治療薬
ラニガスト・ラニマックス・ラニサン・ラニチジン・ラニチジン・ラニティディナ・ソルバーチル"
PNP	"A02BA03 ·ファモチジン 酸関連疾患治療薬
ファミフラックス、ファモガスト、ファモチジン、ファモチジン、ファモチダイナ、ファモチダイナラニガスト、ペプシド"
PNP	"A02BA04 ·ニザチジン 酸関連疾患治療薬
ニザティディン"
PNP	"A02BA53 ·ファモチジン、配合剤  酸関連疾患治療薬
ファモティジン、コンビナショナー、マンティ、ペプシド、ペプシドゥオ"
PNP	"A02BB01・ミソプロストール  酸関連疾患治療薬
サイトテック・ミソプロストール"
NP	"A02BC01 ·オメプラゾール  酸関連疾患治療薬
アシニクス·アガスチン·アピズミット·バイオプラゾール·バイオプラゾールバイオ·ガセック·ゴプラゾール·ヘリシッド·ヘリシッドフォルテ·ヘリゲン·ラポクソ·ロセック·ロセプラゾール·オメボイクス·オメディプラム·オメプラゾール·オメプラゾール·オメスタッド·オメゾリン·オメジル·オプラル·オルタノール· ペディッピ ·ポルプラゾール·プラゾール·プレノーム·プロガスチム·レルモ·サガリックス·ウルコゾール·ウルトップ·ベンタゾール·ゼモグラック"
